bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
69437,18899,chama,NM,9ws1yt,9ws1ytz,9ws1ytz,36.90237,-106.5784,36.9030556,-106.5788889,2020-07-20,2002-03-13,6704,2020,2002,88.0,5.07,177.0
1637,70183,mountain home,AR,9yqq9w,9yqq9wx,9yqq9wx,36.33528,-92.385,36.3352778,-92.385,1995-05-15,2014-05-01,6926,1995,2014,0.0,5.01,178.0
51044,8063,panama city beach (behind club lavela),FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,1996-07-01,6952,2015,1996,24.0,4.96,179.0
12587,36284,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2007-07-11,6918,1988,2007,66.0,4.95,180.0
51044,7696,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,1996-01-15,7120,2015,1996,24.0,4.85,181.0
5260,6987,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1995-06-10,7222,1975,1995,4.0,4.81,182.0
919,2668,south lake tahoe,CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,1996-04-10,1976-05-29,7256,1996,1976,3.0,4.79,183.0
5260,7258,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1995-08-15,7288,1975,1995,4.0,4.77,184.0
147,3657,south lake tahoe,CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,2000-06-15,1980-06-30,7290,2000,1980,3.0,4.77,184.0
5260,7313,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1995-08-25,7298,1975,1995,4.0,4.76,185.0
5260,7496,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1995-10-17,7351,1975,1995,4.0,4.73,186.0
5260,7472,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1995-10-13,7347,1975,1995,4.0,4.73,186.0
5260,7670,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1996-01-01,7427,1975,1996,4.0,4.68,187.0
5260,9219,crescent city (80 miles west of),CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1997-09-19,8054,1975,1997,4.0,4.33,188.0
5260,9569,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1998-02-09,8197,1975,1998,4.0,4.26,189.0
502,3859,foresthill,CA,9qfjfx,9qfjfx0,9qfjfxr,39.01917,-120.8275,39.0202778,-120.8169444,2000-06-17,1981-07-28,6899,2000,1981,920.0,4.24,190.0
815,47939,lexington,MI,dptq1u,dptq1uw,dptq1uw,43.26806,-82.53083,43.2680556,-82.5308333,1987-08-15,2010-07-04,8359,1987,2010,1.0,4.18,191.0
528,3601,eureka,CA,9pr8ne,9pr8neg,9pr8neg,40.80222,-124.1625,40.8022222,-124.1625,1957-06-01,1980-05-15,8384,1957,1980,0.0,4.17,192.0
5260,10342,crescent city (100 miles south of),CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1998-09-03,8403,1975,1998,4.0,4.16,193.0
51530,52331,palomar mountain,CA,9muvs6,9muvs65,9muvs6h,33.32237,-116.8782,33.3227778,-116.8777778,1988-07-13,2011-07-17,8404,1988,2011,60.0,4.11,194.0
12587,54152,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2011-11-03,8494,1988,2011,66.0,4.07,195.0
12587,54151,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2011-11-03,8494,1988,2011,66.0,4.07,195.0
12587,54679,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2011-12-17,8538,1988,2011,66.0,4.05,196.0
12587,54939,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2011-12-31,8552,1988,2011,66.0,4.04,197.0
815,52206,lexington,MI,dptq1u,dptq1uw,dptq1uw,43.26806,-82.53083,43.2680556,-82.5308333,1987-08-15,2011-07-08,8728,1987,2011,1.0,4.01,198.0
147,2668,south lake tahoe,CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,2000-06-15,1976-05-29,8783,2000,1976,3.0,3.99,199.0
12587,57070,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2012-05-30,8703,1988,2012,66.0,3.97,200.0
5260,13524,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,2000-01-18,8905,1975,2000,4.0,3.93,201.0
12587,59578,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2012-09-15,8811,1988,2012,66.0,3.93,201.0
12587,61377,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2012-12-16,8903,1988,2012,66.0,3.89,202.0
12587,61505,venice,FL,dhv65t,dhv65tn,dhv65tq,27.099,-82.454,27.0994444,-82.4544444,1988-08-01,2012-12-23,8910,1988,2012,66.0,3.88,203.0
