uap_id,datetime,city,state_code,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,rounded_dt,date_str,hour_str,weather_cloud,weather_temp_f,weather_condition,condition_groups
60037,2012-10-10 20:45:00,phoenix,AZ,az,us,sphere,300.0,5 minutes,18 glowing UFOs seen over Phoenix  AZ tonight&#44 10/12/12 8:45PM,10/30/2012,33.4483333,-112.0733333,2012-10-10 21:00:00,2012-10-10,21,0.0,82.9,Clear,Clear
60038,2012-10-10 20:48:00,yakima,WA,wa,us,light,240.0,4 minutes,Noticed light in the N.E. section of the sky about 30 deg. up that did not move. About the size of Venus.  ((NUFORC Note:  Capella?  PD,10/30/2012,46.6022222,-120.5047222,2012-10-10 21:00:00,2012-10-10,21,0.0,54.9,Clear,Clear
60041,2012-10-10 21:00:00,austin,TX,tx,us,changing,1200.0,15-20 minutes,Spheres of light seen over the west campus area of austin which then broke apart and sped off in different directions.,12/20/2012,30.2669444,-97.7427778,2012-10-10 21:00:00,2012-10-10,21,52.0,74.7,Partly cloudy,Cloudy
60039,2012-10-10 21:00:00,bean station,TN,tn,us,cigar,180.0,3 minutes,Large cigar shaped flying about 800 feet high.  Huge square engines on back.,10/30/2012,36.3436111,-83.2841667,2012-10-10 21:00:00,2012-10-10,21,0.0,48.2,Clear,Clear
60040,2012-10-10 21:00:00,rochester,WA,wa,us,light,600.0,10 minutes,Fleet of red UFO&#39s emerging from Mt. Rainier.,11/19/2012,46.8219444,-123.095,2012-10-10 21:00:00,2012-10-10,21,0.0,45.3,Clear,Clear
60042,2012-10-10 23:01:00,suffern,NY,ny,us,cylinder,20.0,20 seconds +,UFO over Suffern NY,10/30/2012,41.1147222,-74.15,2012-10-10 23:00:00,2012-10-10,23,5.0,50.5,Clear,Clear
60043,2012-10-10 23:20:00,rancho mirage,CA,ca,us,rectangle,5.0,5 seconds,Flying red object over Rancho Mirage&#44 ca,10/30/2012,33.7397222,-116.4119444,2012-10-10 23:00:00,2012-10-10,23,3.0,63.4,Clear,Clear
,2013-10-10 00:00:00,clifton,,nj,,light,60.0,<1 minute,Bright light&#33&#33,10/14/2013,40.858433,-74.163755,2013-10-10 00:00:00,2013-10-10,0,21.0,52.3,Clear,Clear
66347,2013-10-10 02:32:00,palm harbor,FL,fl,us,chevron,5.0,5 seconds,Tracking north to south at apx 2500 ft. A very fast&#44 semi-transparent Chevron shape craft&#44 slightly larger than a commercial plane.,10/14/2013,28.0777778,-82.7638889,2013-10-10 03:00:00,2013-10-10,3,4.0,69.4,Clear,Clear
66348,2013-10-10 04:00:00,sandusky,OH,oh,us,triangle,0.0,right now,Triangle shaped various different color lights moving really fast in various directions.  ((NUFORC Note:  Star??  PD)),10/14/2013,41.4488889,-82.7080556,2013-10-10 04:00:00,2013-10-10,4,0.0,51.7,Clear,Clear
,2013-10-10 05:00:00,aurburn,,ky,,triangle,600.0,10 minutes,Three bright lights over field.,10/14/2013,36.864209,-86.710273,2013-10-10 05:00:00,2013-10-10,5,32.0,60.1,Partly cloudy,Cloudy
66349,2013-10-10 17:00:00,st. louis county,MO,mo,us,light,10800.0,2-3 hours,Hovering bright object moving slowly around St. Louis.,10/23/2013,38.6272222,-90.1977778,2013-10-10 17:00:00,2013-10-10,17,7.0,72.1,Sunny,Clear
,2013-10-10 17:10:00,ottawa (canada),,on,ca,light,10.0,10 seconds,FATHER: My name is Eldon Trepanier&#44  and I assure you that the following statement is true.At approximately 5:10 pm&#44 I spotted a very b,10/14/2013,45.416667,-75.7,2013-10-10 17:00:00,2013-10-10,17,0.0,58.9,Sunny,Clear
