bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
2779,47757,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-06-26,10723,1981,2010,1.0,3.29,567.0
2744,64296,battle ground,WA,c20u7w,c20u7wn,c20u7wn,45.7811,-122.5322,45.7811111,-122.5322222,1984-01-15,2013-07-07,10766,1984,2013,2.0,3.28,568.0
1593,45582,parkland,WA,c22umb,c22umbr,c22umbr,47.15556,-122.4328,47.1555556,-122.4327778,1980-04-16,2009-09-19,10748,1980,2009,2.0,3.28,568.0
39858,15020,granite falls (23 miles east of),WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2000-09-15,10563,1971,2000,95.0,3.28,568.0
14154,2857,hartsville,SC,dnp59c,dnp59ce,dnp59cs,34.374,-80.074,34.3738889,-80.0736111,2006-03-13,1976-11-11,10714,2006,1976,38.0,3.27,569.0
2744,64949,battle ground,WA,c20u7w,c20u7wn,c20u7wn,45.7811,-122.5322,45.7811111,-122.5322222,1984-01-15,2013-08-09,10799,1984,2013,2.0,3.27,569.0
2779,49914,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-11-15,10865,1981,2010,1.0,3.25,570.0
2779,49776,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2010-11-04,10854,1981,2010,1.0,3.25,570.0
2779,50575,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-02-05,10947,1981,2011,1.0,3.23,571.0
39858,16238,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2001-03-12,10741,1971,2001,95.0,3.23,571.0
39858,16187,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2001-03-05,10734,1971,2001,95.0,3.23,571.0
39858,16239,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2001-03-12,10741,1971,2001,95.0,3.23,571.0
10653,25819,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2004-06-17,10948,1974,2004,3.0,3.22,572.0
2779,50636,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-02-11,10953,1981,2011,1.0,3.22,572.0
2779,50872,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-03-10,10980,1981,2011,1.0,3.22,572.0
2779,50798,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-03-02,10972,1981,2011,1.0,3.22,572.0
39858,16253,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2001-03-13,10742,1971,2001,95.0,3.22,572.0
2779,50718,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-02-20,10962,1981,2011,1.0,3.22,572.0
10653,26280,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2004-07-29,10990,1974,2004,3.0,3.21,573.0
2779,51007,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-03-26,10996,1981,2011,1.0,3.21,573.0
2779,51174,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-04-14,11015,1981,2011,1.0,3.21,573.0
2779,51183,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-04-15,11016,1981,2011,1.0,3.21,573.0
2779,51494,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-05-24,11055,1981,2011,1.0,3.2,574.0
18632,40060,barnwell,SC,djyjhs,djyjhsh,djyjhsh,33.245,-81.359,33.2447222,-81.3588889,1978-06-08,2008-06-17,10967,1978,2008,33.0,3.2,574.0
25592,64126,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2013-07-04,9903,1986,2013,559.0,3.2,574.0
25592,63806,portland,TN,dnd2p7,dnd2p7j,dnd2p72,36.5802,-86.5104,36.5816667,-86.5163889,1986-05-24,2013-06-23,9892,1986,2013,559.0,3.2,574.0
10653,27244,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2004-10-24,11077,1974,2004,3.0,3.19,575.0
2779,51897,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-06-30,11092,1981,2011,1.0,3.19,575.0
2779,51866,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-06-29,11091,1981,2011,1.0,3.19,575.0
6330,2410,lodi,OH,dpm9mv,dpm9mv6,dpm9mvb,41.03,-82.0101,41.0333333,-82.0122222,2003-05-01,1975-05-07,10221,2003,1975,411.0,3.19,575.0
2779,52542,san diego (ranch environment),CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-07-31,11123,1981,2011,1.0,3.18,576.0
2779,52367,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-07-20,11112,1981,2011,1.0,3.18,576.0
10653,27741,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2004-12-12,11126,1974,2004,3.0,3.17,577.0
39858,17657,granite falls,WA,c29389,c293893,c293893,48.0835,-121.9683,48.0841667,-121.9675,1971-10-15,2001-09-08,10921,1971,2001,95.0,3.17,577.0
2779,52904,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-08-21,11144,1981,2011,1.0,3.17,577.0
2779,53636,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,2011-10-06,11190,1981,2011,1.0,3.16,578.0
10653,28088,puyallup,WA,c23h3j,c23h3jv,c23h3jv,47.18556,-122.2917,47.1855556,-122.2916667,1974-06-27,2005-01-31,11176,1974,2005,3.0,3.16,578.0
