datetime,city,state,country,shape,duration_secs,comments,date posted,latitude,longitude,datetime_formatted,full_date,year,month,season,solar_kp_index,solar_ap_index,state_code,shape_group
2002-03-21 20:26:00,san anselmo,ca,us,chevron,120,&quot;V&quot; pattern over hill came towards me&#44 zig-zagged slowly and then &quot;flew&quot; away very quickly,4/8/2002,37.9747222,-122.5605556,2002-03-21 20:26,2002-03-21,2002,3,spring,3.0,15,CA,triangle
2002-03-21 22:30:00,spokane,wa,us,unknown,300,Friggen freaky,4/8/2002,47.6588889,-117.425,2002-03-21 22:30,2002-03-21,2002,3,spring,3.0,15,WA,other
2002-03-21 23:12:00,greenfield,il,us,unknown,300,The ufo had two very bright lights side by side it was moving slowly and made a hovering sound.,4/8/2002,39.3436111,-90.2125,2002-03-21 23:12,2002-03-21,2002,3,spring,3.0,15,IL,other
2002-03-22 00:00:00,oviedo,fl,us,sphere,30,Two small Sphere shaped crafts that were zigzagging while flying quickly through the air. (Metalic&#44 shinny surface),4/8/2002,28.6697222,-81.2083333,2002-03-22 00:00,2002-03-22,2002,3,spring,0.0,0,FL,round
2004-03-21 19:00:00,columbus,oh,us,light,120,White orb silently passing over metropolitan area,4/9/2004,39.9611111,-82.9988889,2004-03-21 19:00,2004-03-21,2004,3,spring,3.0,15,OH,light
2004-03-21 19:00:00,hollywood,ca,us,circle,1200,unknown shape over the hollywood bowl.,3/28/2004,34.0983333,-118.3258333,2004-03-21 19:00,2004-03-21,2004,3,spring,3.0,15,CA,round
2004-03-21 19:21:00,champlin,mn,us,fireball,10,blue fireball descending,3/23/2004,45.1888889,-93.3972222,2004-03-21 19:21,2004-03-21,2004,3,spring,3.0,15,MN,light
2004-03-21 19:26:00,kingfisher,ok,us,triangle,600,Triangle Shape&#44 2 bright halogen lights&#44 clear or hollow middle,3/23/2004,35.8613889,-97.9313889,2004-03-21 19:26,2004-03-21,2004,3,spring,3.0,15,OK,triangle
2004-03-21 19:26:00,kingfisher,ok,us,triangle,600,triangle shaped brightly lighted ufo,3/23/2004,35.8613889,-97.9313889,2004-03-21 19:26,2004-03-21,2004,3,spring,3.0,15,OK,triangle
2004-03-21 19:30:00,wapato,wa,us,fireball,20,There was a bright orange object in the sky it was very bright and lasted 20 sec or so than disapeared.,3/23/2004,46.4477778,-120.4191667,2004-03-21 19:30,2004-03-21,2004,3,spring,3.0,15,WA,light
2004-03-21 20:25:00,tinton falls,nj,us,sphere,180,More orbs near the Jersey Shore area...,3/23/2004,40.3041667,-74.1008333,2004-03-21 20:25,2004-03-21,2004,3,spring,3.0,15,NJ,round
2004-03-21 20:30:00,carmichaels,pa,us,light,1800,Object did not look like a plane  ((NUFORC Note:  Venus.  PD)),3/23/2004,39.8966667,-79.9747222,2004-03-21 20:30,2004-03-21,2004,3,spring,3.0,15,PA,light
2004-03-21 20:30:00,carmichaels,pa,us,light,2700,Refer. to the report from Carmichaels&#44 Pa. on 21 March 2004 at 20:30 hrs.My son and I were six miles from Carmichaels&#44 Pa in the vi,4/9/2004,39.8966667,-79.9747222,2004-03-21 20:30,2004-03-21,2004,3,spring,3.0,15,PA,light
2004-03-21 20:30:00,lewistown,mt,us,fireball,180,Object with blueish tail impacts NW of Lewistown Montana,3/23/2004,47.0625,-109.4275,2004-03-21 20:30,2004-03-21,2004,3,spring,3.0,15,MT,light
2004-03-21 21:00:00,woodward,ok,us,other,14400,Star looking object moving in zig zagging shapes and various speeds and Changing colors  ((NUFORC Note:  Sirius.  PD)),3/23/2004,36.4336111,-99.39,2004-03-21 21:00,2004-03-21,2004,3,spring,3.0,15,OK,other
2004-03-21 21:20:00,brookston,in,us,flash,20,4 bright orange flashes in a line,5/24/2005,40.6027778,-86.8672222,2004-03-21 21:20,2004-03-21,2004,3,spring,3.0,15,IN,light
2005-03-21 00:17:00,scottsdale,az,us,triangle,15,Black Triangle with three bright lights&#44 over highway 101 in Scottsdale area.,5/11/2005,33.5091667,-111.8983333,2005-03-21 00:17,2005-03-21,2005,3,spring,0.333,2,AZ,triangle
2005-03-21 00:30:00,flagstaff (ne of),az,us,triangle,120,Golden triangle of lights in Northern Arizona&#44 2 min duration&#44 silent and then just disappeared,5/11/2005,35.1980556,-111.6505556,2005-03-21 00:30,2005-03-21,2005,3,spring,0.333,2,AZ,triangle
2005-03-21 09:30:00,castro valley,ca,us,egg,120,Shiny white object flys silently over our home,4/16/2005,37.6941667,-122.0852778,2005-03-21 09:30,2005-03-21,2005,3,spring,0.333,2,CA,round
2005-03-21 12:20:00,scottsdale,az,us,triangle,180,I observed three bright white lights arranged in a triangular pattern hovering low in the northeast sky,4/16/2005,33.5091667,-111.8983333,2005-03-21 12:20,2005-03-21,2005,3,spring,0.333,2,AZ,triangle
2005-03-21 12:21:00,cook county,mn,us,triangle,600,three lights came out from behind a cloud and began following beside our car for 5- 10 minutes,9/2/2005,47.8525,-92.6894444,2005-03-21 12:21,2005-03-21,2005,3,spring,0.333,2,MN,triangle
